common_name,breeding_verified,breeding_indirect,transient,winter_verified,winter_present,aab_url,order_desc,order,family,genus,species,similar_species
Red-headed Woodpecker,true,false,false,false,true,http://www.allaboutbirds.org/guide/redheaded_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Melanerpes,erythrocephalus,"Pileated Woodpecker, Red-bellied Woodpecker, Golden-fronted Woodpecker"
Red-bellied Woodpecker,false,false,true,false,false,http://www.allaboutbirds.org/guide/redbellied_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Melanerpes,carolinus,"Yellow-bellied Sapsucker, Gila Woodpecker, Golden-fronted Woodpecker, Red-headed Woodpecker, Northern Flicker"
Williamson’s Sapsucker,true,false,false,false,false,http://www.allaboutbirds.org/guide/williamsons_sapsucker/id,Woodpeckers,PICIFORMES,PICIDAE,Sphyrapicus,thyroideus,""
Yellow-bellied Sapsucker,false,false,true,false,false,http://www.allaboutbirds.org/guide/yellowbellied_sapsucker/id,Woodpeckers,PICIFORMES,PICIDAE,Sphyrapicus,varius,"Red-naped Sapsucker, Red-breasted Sapsucker, Downy Woodpecker, Hairy Woodpecker"
Red-naped Sapsucker,true,false,false,false,true,http://www.allaboutbirds.org/guide/rednaped_sapsucker/id,Woodpeckers,PICIFORMES,PICIDAE,Sphyrapicus,nuchalis,""
Downy Woodpecker,true,false,false,true,false,http://www.allaboutbirds.org/guide/downy_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Picoides,pubescens,"Yellow-bellied Sapsucker, White-breasted Nuthatch, Hairy Woodpecker, Ladder-backed Woodpecker, Red-cockaded Woodpecker, Nuttall's Woodpecker"
Hairy Woodpecker,true,false,false,true,false,http://www.allaboutbirds.org/guide/hairy_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Picoides,villosus,"Yellow-bellied Sapsucker, Downy Woodpecker, Ladder-backed Woodpecker, Red-cockaded Woodpecker, Nuttall's Woodpecker"
White-headed Woodpecker,false,false,true,false,true,http://www.allaboutbirds.org/guide/whiteheaded_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Picoides,albolarvatus,""
American Three-toed Woodpecker,true,false,false,true,false,http://www.allaboutbirds.org/guide/american_threetoed_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Picoides,dorsalis,""
Black-backed Woodpecker,true,false,false,true,false,http://www.allaboutbirds.org/guide/blackbacked_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Picoides,arcticus,""
Northern Flicker,true,false,false,true,false,http://www.allaboutbirds.org/guide/northern_flicker/id,Woodpeckers,PICIFORMES,PICIDAE,Colaptes,auratus,"Yellow-bellied Sapsucker, Eastern Meadowlark, Gilded Flicker, Red-bellied Woodpecker"
Pileated Woodpecker,true,false,false,true,false,http://www.allaboutbirds.org/guide/pileated_woodpecker/id,Woodpeckers,PICIFORMES,PICIDAE,Dryocopus,pileatus,"Red-headed Woodpecker, American Crow"
Olive-sided Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/olivesided_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Contopus,cooperi,"Eastern Wood-Pewee, Western Wood-Pewee, Greater Pewee"
Western Wood-Pewee,true,false,false,false,false,http://www.allaboutbirds.org/guide/western_woodpewee/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Contopus,sordidulus,""
Eastern Wood-Pewee,false,false,true,false,false,http://www.allaboutbirds.org/guide/eastern_woodpewee/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Contopus,virens,"Western Wood-Pewee, Olive-sided Flycatcher, Eastern Phoebe, Willow Flycatcher, Acadian Flycatcher"
Yellow-bellied Flycatcher,false,false,true,false,false,http://www.allaboutbirds.org/guide/yellowbellied_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,flaviventris,""
Alder Flycatcher,false,true,false,false,false,http://www.allaboutbirds.org/guide/alder_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,alnorum,""
Willow Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/willow_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,traillii,""
Least Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/least_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,minimus,"Willow Flycatcher, Alder Flycatcher, Acadian Flycatcher, Eastern Wood-Pewee"
Hammond’s Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/hammonds_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,hammondii,""
Gray Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/gray_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,wrightii,""
Dusky Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/dusky_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,oberholseri,""
Cordilleran Flycatcher,true,false,false,false,false,http://www.allaboutbirds.org/guide/cordilleran_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Empidonax,occidentalis,""
Eastern Phoebe,false,false,true,false,true,http://www.allaboutbirds.org/guide/eastern_phoebe/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Sayornis,phoebe,"Say's Phoebe, Black Phoebe, Dark-eyed Junco, Eastern Wood-Pewee, Willow Flycatcher, Least Flycatcher"
Say’s Phoebe,true,false,false,false,true,http://www.allaboutbirds.org/guide/says_phoebe/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Sayornis,saya,"Vermilion Flycatcher, Eastern Phoebe, Black Phoebe, Scissor-tailed Flycatcher"
Vermilion Flycatcher,false,false,false,false,true,http://www.allaboutbirds.org/guide/vermilion_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Pyrocephalus,rubinus,Say's Phoebe
Ash-throated Flycatcher,false,false,true,false,false,http://www.allaboutbirds.org/guide/ashthroated_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Myiarchus,cinerascens,Great Crested Flycatcher
Great Crested Flycatcher,false,false,true,false,false,http://www.allaboutbirds.org/guide/great_crested_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Myiarchus,crinitus,""
Cassin’s Kingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/cassins_kingbird/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Tyrannus,vociferans,""
Western Kingbird,true,false,false,false,true,http://www.allaboutbirds.org/guide/western_kingbird/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Tyrannus,verticalis,"Cassin's Kingbird, Tropical Kingbird, Couch's Kingbird"
Eastern Kingbird,true,false,false,false,false,http://www.allaboutbirds.org/guide/eastern_kingbird/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Tyrannus,tyrannus,Eastern Phoebe
Scissor-tailed Flycatcher,false,false,true,false,false,http://www.allaboutbirds.org/guide/scissortailed_flycatcher/id,Perching Birds,PASSERIFORMES,TYRANNIDAE,Tyrannus,forficatus,"Western Kingbird, Say's Phoebe"
