common_name,winter_verified,winter_unverified,breeding_verified,breeding_indirect,transient,slug,aab_url,elcode,field_guide_url,order_desc,order,family_desc,family,genus,species,similar_species,num_observations,accidental,major_group
Great Gray Owl,X,"",X,"","",great_gray_owl,http://www.allaboutbirds.org/guide/great_gray_owl/id,ABNSB12040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB12040,Owls,Strigiformes,Owls,Strigidae,Strix,Nebulosa,Barred Owl,478,"",Owls & Nightjars
Barred Owl,X,"",X,"","",barred_owl,http://www.allaboutbirds.org/guide/barred_owl/id,ABNSB12020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB12020,Owls,Strigiformes,Owls,Strigidae,Strix,Varia,Great Horned Owl,432,"",Owls & Nightjars
Northern Hawk Owl,X,"",X,"","",northern_hawk_owl,http://www.allaboutbirds.org/guide/northern_hawk_owl/id,ABNSB07010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNSB07010,Owls,Strigiformes,Owls,Strigidae,Surnia,Ulula,"",92,"",Owls & Nightjars
Common Nighthawk,"","",X,"","",common_nighthawk,http://www.allaboutbirds.org/guide/common_nighthawk/id,ABNTA02020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNTA02020,Nightjars,Caprimulgiformes,Nighthawks,Caprimulgidae,Chordeiles,Minor,"",3131,"",Owls & Nightjars
Common Poorwill,"","",X,"","",common_poorwill,http://www.allaboutbirds.org/guide/common_poorwill/id,ABNTA04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNTA04010,Nightjars,Caprimulgiformes,Nighthawks,Caprimulgidae,Phalaenoptilus,Nuttallii,"",254,"",Owls & Nightjars
Black-chinned Hummingbird,"","",X,"","",black-chinned_hummingbird,http://www.allaboutbirds.org/guide/black-chinned_hummingbird/id,ABNUC45020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC45020,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Archilochus,Alexandri,"Anna's Hummingbird, Broad-tailed Hummingbird, Calliope Hummingbird, Rufous Hummingbird, Ruby-throated Hummingbird, Costa's Hummingbird",262,"",Hummingbirds
Ruby-throated Hummingbird,"","",X,"","",ruby-throated_hummingbird,http://www.allaboutbirds.org/guide/ruby-throated_hummingbird/id,ABNUC45010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC45010,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Archilochus,Colubris,"Anna's Hummingbird, Black-chinned Hummingbird, Broad-tailed Hummingbird, Calliope Hummingbird, Rufous Hummingbird, Costa's Hummingbird",37,"",Hummingbirds
Anna's Hummingbird,X,"","","",X,annas_hummingbird,http://www.allaboutbirds.org/guide/annas_hummingbird/id,ABNUC47010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC47010,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Calypte,Anna,"Costa's Hummingbird, Black-chinned Hummingbird, Broad-tailed Hummingbird, Rufous Hummingbird",30,"",Hummingbirds
Costa's Hummingbird,"","","","",X,costas_hummingbird,http://www.allaboutbirds.org/guide/costas_hummingbird/id,ABNUC47020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC47020,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Calypte,Costae,"",2,X,Hummingbirds
Calliope Hummingbird,"","",X,"","",calliope_hummingbird,http://www.allaboutbirds.org/guide/calliope_hummingbird/id,ABNUC48010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC48010,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Selasphorus,Calliope,"",1187,"",Hummingbirds
Broad-tailed Hummingbird,"","",X,"","",broad-tailed_hummingbird,http://www.allaboutbirds.org/guide/broad-tailed_hummingbird/id,ABNUC51010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC51010,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Selasphorus,Platycercus,"Rufous Hummingbird, Ruby-throated Hummingbird",140,"",Hummingbirds
Rufous Hummingbird,"","",X,"","",rufous_hummingbird,http://www.allaboutbirds.org/guide/rufous_hummingbird/id,ABNUC51020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUC51020,Swifts and Hummingbirds,Apodiformes,Hummingbirds,Trochilidae,Selasphorus,Rufus,"Broad-tailed Hummingbird, Ruby-throated Hummingbird",1124,"",Hummingbirds
White-throated Swift,"","",X,"","",white-throated_swift,http://www.allaboutbirds.org/guide/white-throated_swift/id,ABNUA06010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUA06010,Swifts and Hummingbirds,Apodiformes,Swifts,Apodidae,Aeronautes,Saxatalis,"",629,"",Swifts
Chimney Swift,"","",X,"","",chimney_swift,http://www.allaboutbirds.org/guide/chimney_swift/id,ABNUA03010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUA03010,Swifts and Hummingbirds,Apodiformes,Swifts,Apodidae,Chaetura,Pelagica,"",88,"",Swifts
Vaux's Swift,"","",X,"","",vauxs_swift,http://www.allaboutbirds.org/guide/vauxs_swift/id,ABNUA03020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNUA03020,Swifts and Hummingbirds,Apodiformes,Swifts,Apodidae,Chaetura,Vauxi,"",469,"",Swifts
Chukar,X,"",X,"","",chukar,http://www.allaboutbirds.org/guide/chukar/id,ABNLC03010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC03010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Alectoris,Chukar,Gray Partridge,73,"",Game birds
Ruffed Grouse,X,"",X,"","",ruffed_grouse,http://www.allaboutbirds.org/guide/ruffed_grouse/id,ABNLC11010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC11010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Bonasa,Umbellus,"Spruce Grouse, Sharp-tailed Grouse, Ring-necked Pheasant",2965,"",Game birds
Greater Sage-Grouse,X,"",X,"","",greater_sage-grouse,http://www.allaboutbirds.org/guide/greater_sage-grouse/id,ABNLC12010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC12010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Centrocercus,Urophasianus,"",14405,"",Game birds
Dusky Grouse,X,"",X,"","",dusky_grouse,http://www.allaboutbirds.org/guide/dusky_grouse/id,ABNLC09020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC09020,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Dendragapus,Obscurus,"",981,"",Game birds
Spruce Grouse,X,"",X,"","",spruce_grouse,http://www.allaboutbirds.org/guide/spruce_grouse/id,ABNLC09010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC09010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Falcipennis,Canadensis,"",529,"",Game birds
Willow Ptarmigan,"",X,"","","",willow_ptarmigan,http://www.allaboutbirds.org/guide/willow_ptarmigan/id,ABNLC10010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC10010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Lagopus,Lagopus,"",1,X,Game birds
White-tailed Ptarmigan,X,"",X,"","",white-tailed_ptarmigan,http://www.allaboutbirds.org/guide/white-tailed_ptarmigan/id,ABNLC10030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC10030,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Lagopus,Leucura,"",118,"",Game birds
Wild Turkey,X,"",X,"","",wild_turkey,http://www.allaboutbirds.org/guide/wild_turkey/id,ABNLC14010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC14010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Meleagris,Gallopavo,"Dusky Grouse, Ruffed Grouse, Greater Sage-Grouse",1809,"",Game birds
Gray Partridge,X,"",X,"","",gray_partridge,http://www.allaboutbirds.org/guide/gray_partridge/id,ABNLC01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC01010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Perdix,Perdix,"",1878,"",Game birds
Ring-necked Pheasant,X,"",X,"","",ring-necked_pheasant,http://www.allaboutbirds.org/guide/ring-necked_pheasant/id,ABNLC07010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC07010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Phasianus,Colchicus,"Sharp-tailed Grouse, Ruffed Grouse",7296,"",Game birds
Greater Prairie-Chicken,"","","",X,"",greater_prairie-chicken,http://www.allaboutbirds.org/guide/greater_prairie-chicken/id,ABNLC13010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC13010,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Tympanuchus,Cupido,"",1,"",Game birds
Sharp-tailed Grouse,X,"",X,"","",sharp-tailed_grouse,http://www.allaboutbirds.org/guide/sharp-tailed_grouse/id,ABNLC13030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNLC13030,"Grouse, Quail, and Allies",Galliformes,Upland Game Birds,Phasianidae,Tympanuchus,Phasianellus,"",2729,"",Game birds
Northern Flicker,X,"",X,"","",northern_flicker,http://www.allaboutbirds.org/guide/northern_flicker/id,ABNYF10020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF10020,Woodpeckers,Piciformes,Woodpeckers,Picidae,Colaptes,Auratus,"Yellow-bellied Sapsucker, Eastern Meadowlark, Red-bellied Woodpecker",11310,"",Woodpeckers
Pileated Woodpecker,X,"",X,"","",pileated_woodpecker,http://www.allaboutbirds.org/guide/pileated_woodpecker/id,ABNYF12020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF12020,Woodpeckers,Piciformes,Woodpeckers,Picidae,Dryocopus,Pileatus,"Red-headed Woodpecker, American Crow",3492,"",Woodpeckers
Red-bellied Woodpecker,"","","","",X,red-bellied_woodpecker,http://www.allaboutbirds.org/guide/red-bellied_woodpecker/id,ABNYF04170,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF04170,Woodpeckers,Piciformes,Woodpeckers,Picidae,Melanerpes,Carolinus,"Yellow-bellied Sapsucker, Red-headed Woodpecker, Northern Flicker",6,X,Woodpeckers
Red-headed Woodpecker,"",X,X,"","",red-headed_woodpecker,http://www.allaboutbirds.org/guide/red-headed_woodpecker/id,ABNYF04040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF04040,Woodpeckers,Piciformes,Woodpeckers,Picidae,Melanerpes,Erythrocephalus,"Pileated Woodpecker, Red-bellied Woodpecker",560,"",Woodpeckers
Lewis's Woodpecker,X,"",X,"","",lewiss_woodpecker,http://www.allaboutbirds.org/guide/lewiss_woodpecker/id,ABNYF04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF04010,Woodpeckers,Piciformes,Woodpeckers,Picidae,Melanerpes,Lewis,"",504,"",Woodpeckers
White-headed Woodpecker,"",X,"","",X,white-headed_woodpecker,http://www.allaboutbirds.org/guide/white-headed_woodpecker/id,ABNYF07070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF07070,Woodpeckers,Piciformes,Woodpeckers,Picidae,Picoides,Albolarvatus,"",7,X,Woodpeckers
Black-backed Woodpecker,X,"",X,"","",black-backed_woodpecker,http://www.allaboutbirds.org/guide/black-backed_woodpecker/id,ABNYF07090,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF07090,Woodpeckers,Piciformes,Woodpeckers,Picidae,Picoides,Arcticus,"",625,"",Woodpeckers
American Three-toed Woodpecker,X,"",X,"","",american_three-toed_woodpecker,http://www.allaboutbirds.org/guide/american_three-toed_woodpecker/id,ABNYF07110,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF07110,Woodpeckers,Piciformes,Woodpeckers,Picidae,Picoides,Dorsalis,"",1187,"",Woodpeckers
Downy Woodpecker,X,"",X,"","",downy_woodpecker,http://www.allaboutbirds.org/guide/downy_woodpecker/id,ABNYF07030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF07030,Woodpeckers,Piciformes,Woodpeckers,Picidae,Picoides,Pubescens,"Yellow-bellied Sapsucker, White-breasted Nuthatch, Hairy Woodpecker",3273,"",Woodpeckers
Hairy Woodpecker,X,"",X,"","",hairy_woodpecker,http://www.allaboutbirds.org/guide/hairy_woodpecker/id,ABNYF07040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF07040,Woodpeckers,Piciformes,Woodpeckers,Picidae,Picoides,Villosus,"Yellow-bellied Sapsucker, Downy Woodpecker",5113,"",Woodpeckers
Red-naped Sapsucker,"",X,X,"","",red-naped_sapsucker,http://www.allaboutbirds.org/guide/red-naped_sapsucker/id,ABNYF05040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF05040,Woodpeckers,Piciformes,Woodpeckers,Picidae,Sphyrapicus,Nuchalis,"",3351,"",Woodpeckers
Williamson's Sapsucker,"","",X,"","",williamsons_sapsucker,http://www.allaboutbirds.org/guide/williamsons_sapsucker/id,ABNYF05030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF05030,Woodpeckers,Piciformes,Woodpeckers,Picidae,Sphyrapicus,Thyroideus,"",834,"",Woodpeckers
Yellow-bellied Sapsucker,"","","","",X,yellow-bellied_sapsucker,http://www.allaboutbirds.org/guide/yellow-bellied_sapsucker/id,ABNYF05010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNYF05010,Woodpeckers,Piciformes,Woodpeckers,Picidae,Sphyrapicus,Varius,"Red-naped Sapsucker, Downy Woodpecker, Hairy Woodpecker",15,X,Woodpeckers
Western Scrub-Jay,X,"","","",X,western_scrub-jay,http://www.allaboutbirds.org/guide/western_scrub-jay/id,ABPAV06040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV06040,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Aphelocoma,Californica,"Blue Jay, Western Bluebird, Steller's Jay, Pinyon Jay",5,X,Corvids and Jays
American Crow,X,"",X,"","",american_crow,http://www.allaboutbirds.org/guide/american_crow/id,ABPAV10010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV10010,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Corvus,Brachyrhynchos,"Common Raven, Common Grackle, Great-tailed Grackle, Brewer's Blackbird",6681,"",Corvids and Jays
Common Raven,X,"",X,"","",common_raven,http://www.allaboutbirds.org/guide/common_raven/id,ABPAV10110,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV10110,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Corvus,Corax,"American Crow, Common Grackle, Great-tailed Grackle",12028,"",Corvids and Jays
Blue Jay,X,"",X,"","",blue_jay,http://www.allaboutbirds.org/guide/blue_jay/id,ABPAV02020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV02020,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Cyanocitta,Cristata,"Western Scrub-Jay, Steller's Jay, Eastern Bluebird, Pinyon Jay",741,"",Corvids and Jays
Steller's Jay,X,"",X,"","",stellers_jay,http://www.allaboutbirds.org/guide/stellers_jay/id,ABPAV02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV02010,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Cyanocitta,Stelleri,"Blue Jay, Western Scrub-Jay, Pinyon Jay",2311,"",Corvids and Jays
Pinyon Jay,X,"",X,"","",pinyon_jay,http://www.allaboutbirds.org/guide/pinyon_jay/id,ABPAV07010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV07010,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Gymnorhinus,Cyanocephalus,"",712,"",Corvids and Jays
Clark's Nutcracker,X,"",X,"","",clarks_nutcracker,http://www.allaboutbirds.org/guide/clarks_nutcracker/id,ABPAV08010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV08010,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Nucifraga,Columbiana,Gray Jay,6911,"",Corvids and Jays
Gray Jay,X,"",X,"","",gray_jay,http://www.allaboutbirds.org/guide/gray_jay/id,ABPAV01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV01010,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Perisoreus,Canadensis,"",3755,"",Corvids and Jays
Black-billed Magpie,X,"",X,"","",black-billed_magpie,http://www.allaboutbirds.org/guide/black-billed_magpie/id,ABPAV09010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAV09010,Perching Birds,Passeriformes,Jays / Crows / Magpies,Corvidae,Pica,Hudsonia,"",9295,"",Corvids and Jays
Rock Pigeon,X,"",X,"","",rock_pigeon,http://www.allaboutbirds.org/guide/rock_pigeon/id,ABNPB01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNPB01010,Pigeons and Doves,Columbiformes,Pigeon / Doves,Columbidae,Columba,Livia,"Band-tailed Pigeon, Eurasian Collared-Dove",3551,"",Pigeons & Doves
Inca Dove,"","","","",X,inca_dove,http://www.allaboutbirds.org/guide/inca_dove/id,ABNPB06010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNPB06010,Pigeons and Doves,Columbiformes,Pigeon / Doves,Columbidae,Columbina,Inca,Mourning Dove,1,X,Pigeons & Doves
Band-tailed Pigeon,"","","","",X,band-tailed_pigeon,http://www.allaboutbirds.org/guide/band-tailed_pigeon/id,ABNPB01080,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNPB01080,Pigeons and Doves,Columbiformes,Pigeon / Doves,Columbidae,Patagioenas,Fasciata,Rock Pigeon,28,"",Pigeons & Doves
Eurasian Collared-Dove,X,"",X,"","",eurasian_collared-dove,http://www.allaboutbirds.org/guide/eurasian_collared-dove/id,ABNPB02030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNPB02030,Pigeons and Doves,Columbiformes,Pigeon / Doves,Columbidae,Streptopelia,Decaocto,"Mourning Dove, White-winged Dove",800,"",Pigeons & Doves
White-winged Dove,"","","","",X,white-winged_dove,http://www.allaboutbirds.org/guide/white-winged_dove/id,ABNPB04010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNPB04010,Pigeons and Doves,Columbiformes,Pigeon / Doves,Columbidae,Zenaida,Asiatica,"Rock Pigeon, Mourning Dove, Eurasian Collared-Dove",20,X,Pigeons & Doves
Mourning Dove,X,"",X,"","",mourning_dove,http://www.allaboutbirds.org/guide/mourning_dove/id,ABNPB04040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNPB04040,Pigeons and Doves,Columbiformes,Pigeon / Doves,Columbidae,Zenaida,Macroura,"Inca Dove, White-winged Dove, Eurasian Collared-Dove, Rock Pigeon",13924,"",Pigeons & Doves
Red-winged Blackbird,X,"",X,"","",red-winged_blackbird,http://www.allaboutbirds.org/guide/red-winged_blackbird/id,ABPBXB0010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB0010,Perching Birds,Passeriformes,Blackbirds,Icteridae,Agelaius,Phoeniceus,"Brewer's Blackbird, Song Sparrow, Brown-headed Cowbird, Common Grackle, European Starling",12174,"",Blackbirds
Bobolink,"","",X,"","",bobolink,http://www.allaboutbirds.org/guide/bobolink/id,ABPBXA9010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXA9010,Perching Birds,Passeriformes,Blackbirds,Icteridae,Dolichonyx,Oryzivorus,"Lark Bunting, Red-winged Blackbird, Grasshopper Sparrow",1341,"",Blackbirds
Rusty Blackbird,X,"","","",X,rusty_blackbird,http://www.allaboutbirds.org/guide/rusty_blackbird/id,ABPBXB5010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB5010,Perching Birds,Passeriformes,Blackbirds,Icteridae,Euphagus,Carolinus,"Common Grackle, Red-winged Blackbird, Brown-headed Cowbird, Brewer's Blackbird",158,"",Blackbirds
Brewer's Blackbird,X,"",X,"","",brewers_blackbird,http://www.allaboutbirds.org/guide/brewers_blackbird/id,ABPBXB5020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB5020,Perching Birds,Passeriformes,Blackbirds,Icteridae,Euphagus,Cyanocephalus,"Brown-headed Cowbird, Common Grackle, Rusty Blackbird, Red-winged Blackbird, European Starling",7951,"",Blackbirds
Bullock's Oriole,"",X,X,"","",bullocks_oriole,http://www.allaboutbirds.org/guide/bullocks_oriole/id,ABPBXB9220,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB9220,Perching Birds,Passeriformes,Blackbirds,Icteridae,Icterus,Bullockii,"Baltimore Oriole, Hooded Oriole",2175,"",Blackbirds
Hooded Oriole,"","","","",X,hooded_oriole,http://www.allaboutbirds.org/guide/hooded_oriole/id,ABPBXB9080,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB9080,Perching Birds,Passeriformes,Blackbirds,Icteridae,Icterus,Cucullatus,"Bullock's Oriole, Orchard Oriole",2,X,Blackbirds
Baltimore Oriole,"","",X,"","",baltimore_oriole,http://www.allaboutbirds.org/guide/baltimore_oriole/id,ABPBXB9190,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB9190,Perching Birds,Passeriformes,Blackbirds,Icteridae,Icterus,Galbula,"Bullock's Oriole, Orchard Oriole, American Robin",306,"",Blackbirds
Orchard Oriole,"","",X,"","",orchard_oriole,http://www.allaboutbirds.org/guide/orchard_oriole/id,ABPBXB9070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB9070,Perching Birds,Passeriformes,Blackbirds,Icteridae,Icterus,Spurius,"Baltimore Oriole, Hooded Oriole",172,"",Blackbirds
Brown-headed Cowbird,"",X,X,"","",brown-headed_cowbird,http://www.allaboutbirds.org/guide/brown-headed_cowbird/id,ABPBXB7030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB7030,Perching Birds,Passeriformes,Blackbirds,Icteridae,Molothrus,Ater,"Red-winged Blackbird, Brewer's Blackbird",16835,"",Blackbirds
Great-tailed Grackle,"","","",X,"",great-tailed_grackle,http://www.allaboutbirds.org/guide/great-tailed_grackle/id,ABPBXB6050,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB6050,Perching Birds,Passeriformes,Blackbirds,Icteridae,Quiscalus,Mexicanus,"Common Grackle, Brewer's Blackbird",7,X,Blackbirds
Common Grackle,X,"",X,"","",common_grackle,http://www.allaboutbirds.org/guide/common_grackle/id,ABPBXB6070,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB6070,Perching Birds,Passeriformes,Blackbirds,Icteridae,Quiscalus,Quiscula,"American Crow, Brewer's Blackbird, Brown-headed Cowbird, Red-winged Blackbird, European Starling, Great-tailed Grackle",2796,"",Blackbirds
Eastern Meadowlark,"","","","",X,eastern_meadowlark,http://www.allaboutbirds.org/guide/eastern_meadowlark/id,ABPBXB2020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB2020,Perching Birds,Passeriformes,Blackbirds,Icteridae,Sturnella,Magna,"Western Meadowlark, Red-winged Blackbird",4,X,Blackbirds
Western Meadowlark,X,"",X,"","",western_meadowlark,http://www.allaboutbirds.org/guide/western_meadowlark/id,ABPBXB2030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB2030,Perching Birds,Passeriformes,Blackbirds,Icteridae,Sturnella,Neglecta,"Eastern Meadowlark, Red-winged Blackbird, Yellow-headed Blackbird, Horned Lark",34799,"",Blackbirds
Yellow-headed Blackbird,X,"",X,"","",yellow-headed_blackbird,http://www.allaboutbirds.org/guide/yellow-headed_blackbird/id,ABPBXB3010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBXB3010,Perching Birds,Passeriformes,Blackbirds,Icteridae,Xanthocephalus,Xanthocephalus,Red-winged Blackbird,3209,"",Blackbirds
Brown Creeper,X,"",X,"","",brown_creeper,http://www.allaboutbirds.org/guide/brown_creeper/id,ABPBA01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBA01010,Perching Birds,Passeriformes,Creepers,Certhiidae,Certhia,Americana,"White-breasted Nuthatch, House Wren, Black-and-white Warbler",2167,"",Small forest birds
Red-breasted Nuthatch,X,"",X,"","",red-breasted_nuthatch,http://www.allaboutbirds.org/guide/red-breasted_nuthatch/id,ABPAZ01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAZ01010,Perching Birds,Passeriformes,Nuthatches,Sittidae,Sitta,Canadensis,"Black-and-white Warbler, White-breasted Nuthatch, Brown Creeper, Pygmy Nuthatch",21907,"",Small forest birds
White-breasted Nuthatch,X,"",X,"","",white-breasted_nuthatch,http://www.allaboutbirds.org/guide/white-breasted_nuthatch/id,ABPAZ01020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAZ01020,Perching Birds,Passeriformes,Nuthatches,Sittidae,Sitta,Carolinensis,"Black-capped Chickadee, Brown Creeper, Pygmy Nuthatch, Red-breasted Nuthatch",2108,"",Small forest birds
Pygmy Nuthatch,X,"",X,"","",pygmy_nuthatch,http://www.allaboutbirds.org/guide/pygmy_nuthatch/id,ABPAZ01030,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAZ01030,Perching Birds,Passeriformes,Nuthatches,Sittidae,Sitta,Pygmaea,"Red-breasted Nuthatch, White-breasted Nuthatch",653,"",Small forest birds
American Dipper,X,"",X,"","",american_dipper,http://www.allaboutbirds.org/guide/american_dipper/id,ABPBH01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPBH01010,Perching Birds,Passeriformes,Dippers,Cinclidae,Cinclus,Mexicanus,"",1759,"",Dippers
Yellow-billed Cuckoo,"","","",X,"",yellow-billed_cuckoo,http://www.allaboutbirds.org/guide/yellow-billed_cuckoo/id,ABNRB02020,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNRB02020,Cuckoos,Cuculiformes,Cuckoos,Cuculidae,Coccyzus,Americanus,Black-billed Cuckoo,37,"",Misc
Black-billed Cuckoo,"","",X,"","",black-billed_cuckoo,http://www.allaboutbirds.org/guide/black-billed_cuckoo/id,ABNRB02010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABNRB02010,Cuckoos,Cuculiformes,Cuckoos,Cuculidae,Coccyzus,Erythropthalmus,"",140,"",Misc
Black-capped Chickadee,X,"",X,"","",black-capped_chickadee,http://www.allaboutbirds.org/guide/black-capped_chickadee/id,ABPAW01010,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAW01010,Perching Birds,Passeriformes,Chickadees,Paridae,Poecile,Atricapillus,"Mountain Chickadee, Chestnut-backed Chickadee, Boreal Chickadee, White-breasted Nuthatch",10002,"",Misc
Mountain Chickadee,X,"",X,"","",mountain_chickadee,http://www.allaboutbirds.org/guide/mountain_chickadee/id,ABPAW01040,http://fieldguide.mt.gov/speciesDetail.aspx?elcode=ABPAW01040,Perching Birds,Passeriformes,Chickadees,Paridae,Poecile,Gambeli,"Black-capped Chickadee, Boreal Chickadee, Chestnut-backed Chickadee",15788,"",Misc
